H (A/m);B(T)
94.80053;0.300881385
95.28047;0.301144632
95.76042;0.301405376
96.24036;0.301663643
96.7203;0.301919475
97.20025;0.302172912
97.68019;0.302423979
98.16013;0.302672714
98.64008;0.302919157
99.12002;0.30316333
99.59997;0.303405274
100.07991;0.303645011
100.55985;0.303882577
101.0398;0.304118007
101.51974;0.304351321
101.99969;0.304582559
102.47963;0.304811737
102.95957;0.305038891
103.43952;0.305264051
103.91946;0.305487236
104.39941;0.305708482
104.87935;0.305927804
105.35929;0.306145234
105.83924;0.306360801
106.31918;0.306574521
106.79912;0.306786422
107.27907;0.306996533
107.75901;0.307204868
108.23896;0.307411459
108.7189;0.30761632
109.19884;0.307819477
109.67879;0.308020956
110.15873;0.308220771
110.63868;0.308418951
111.11862;0.308615508
111.59856;0.308810466
112.07851;0.30900385
112.55845;0.309195671
113.0384;0.309385957
113.51834;0.309574718
113.99828;0.309761977
114.47823;0.309947757
