H_675C_0.8lbf_strip';'B_675C_0.8lbf_strip'
866.0135903;1.144395507
867.4434117;1.144401177
866.728501;1.144416611
868.1583224;1.144436927
867.4434117;1.144432834
868.8732332;1.144418977
868.1583224;1.144414884
868.1583224;1.144420555
868.8732332;1.144421343
869.5881439;1.144412369
869.5881439;1.144408276
868.8732332;1.144409064
869.5881439;1.144375681
869.5881439;1.144313007
870.3030546;1.144274742
870.3030546;1.144251122
870.3030546;1.144227501
868.8732332;1.144203881
869.5881439;1.144175378
868.8732332;1.14415664
868.8732332;1.144147664
868.8732332;1.144148453
868.1583224;1.144154123
867.4434117;1.14417932
866.728501;1.144238689
868.1583224;1.144268769
866.0135903;1.144269558
865.2981104;1.144289873
866.0135903;1.144319952
864.5826305;1.14434515
863.8671506;1.144365465
863.1516707;1.144390663
861.7218492;1.144410978
861.0069385;1.144421531
860.2920278;1.144412556
859.5771171;1.144393817
857.4323849;1.144375079
856.7174742;1.14435634
856.0025635;1.144347365
855.2876528;1.144323745
854.5727421;1.144280597
853.8572622;1.144242332
851.7108224;1.144194303
851.7108224;1.144141392
849.5660903;1.144088481
848.8511796;1.144059979
848.1362689;1.144041241
845.9915367;1.14398833
845.9915367;1.143930538
844.5605769;1.143872746
843.1296171;1.143819835
841.6997957;1.143762043
840.2699742;1.143714014
838.1252421;1.143675748
837.4103314;1.143642365
837.4103314;1.143599218
834.5506885;1.143536544
832.4042488;1.143488515
831.6887689;1.143440486
830.2589474;1.143397339
828.1142153;1.143363955
825.9694832;1.143325689
824.5396617;1.143311833
823.824751;1.143297976
821.6788805;1.143269473
819.5330099;1.143245853
817.3882778;1.143212469
815.2435457;1.143154677
813.813155;1.143087121
810.9518046;1.143048856
809.5219832;1.143020353
807.377251;1.142962561
805.9474296;1.142885241
803.0877867;1.142822567
800.2258671;1.142755011
798.7960457;1.142682574
797.3662242;1.142629663
794.5065814;1.142581634
791.6446617;1.142528724
789.4999296;1.14246605
786.6402867;1.142422902
784.4955546;1.142374873
783.0657332;1.142268263
780.2038135;1.142176299
777.3441707;1.142118506
773.7690479;1.142031423
771.6226082;1.141910168
768.0480546;1.141842613
765.9033224;1.14181411
763.0436796;1.141717263
760.1817599;1.141625299
757.3221171;1.141582151
753.7475635;1.141519477
751.6028314;1.141422631
748.026001;1.14136972
745.1663582;1.141341218
742.3061461;1.14126878
738.0149742;1.141201224
735.8702421;1.14113855
732.2939809;1.141027058
728.7188582;1.14089604
725.8592153;1.140794312
722.9995724;1.140677938
719.4227421;1.140542038
715.8481885;1.140445191
712.2736349;1.140367872
709.4122845;1.140280788
705.8371617;1.140193705
702.9775189;1.140111504
700.1155992;1.140014657
695.8261349;1.139873875
692.9664921;1.139713566
688.674751;1.139572784
685.1001974;1.139441765
681.5245055;1.139296101
677.9488135;1.139130911
674.3742599;1.13896572
669.3681774;1.138781003
666.5079653;1.138566995
661.5024519;1.138387158
658.6416707;1.138212204
654.3522064;1.137988432
651.4919943;1.137784188
647.9157332;1.137594588
644.3411796;1.13735129
640.0517153;1.137073819
637.1897957;1.136810994
632.9003314;1.136548168
628.6085903;1.136275579
624.319126;1.135988344
620.7445724;1.135681583
617.1677421;1.135379703
614.3080992;1.135038769
610.7329765;1.134668544
606.4418046;1.134278791
601.4374296;1.133845103
599.2921282;1.133347953
594.2860457;1.13281663
589.2799631;1.132285307
585.7048403;1.131700285
582.8451974;1.131076209
576.4087242;1.130447251
572.1192599;1.129784122
567.8292265;1.129081937
563.5380546;1.12834558
559.963501;1.127550641
554.9568492;1.126711766
551.3822957;1.125814312
545.6607332;1.124838752
542.8010903;1.123819258
537.7950077;1.122750943
532.7900635;1.121643572
528.5005992;1.120497149
525.6386796;1.119267736
521.3492153;1.117965097
517.0574742;1.116638049
511.3381885;1.115232893
508.4785457;1.113695931
503.4718939;1.11210527
499.8973403;1.110456028
495.6055992;1.108709149
491.3161349;1.106898807
485.5945724;1.105020123
482.7349296;1.103048685
477.728847;1.100984493
474.1537242;1.098851956
467.7189586;1.096641313
464.8576082;1.094318388
459.8532332;1.091897828
454.8471506;1.089399161
451.2720278;1.086788212
446.9814251;1.084050338
442.6908224;1.081229476
436.9715367;1.078330503
434.1096171;1.075285079
429.1052421;1.072083439
425.5284117;1.068803689
421.9538582;1.065397015
416.9494832;1.061804835
411.2279207;1.058080848
406.937318;1.054234818
402.6467153;1.050276506
397.6423403;1.046166859
392.6356885;1.041905877
389.0611349;1.037532618
384.0556216;1.032973854
379.0501082;1.028239345
375.4744162;1.023358383
371.1838135;1.018291913
365.4645278;1.013030173
360.457876;1.007582928
356.8833224;1.001959941
351.1617599;0.996112395
346.8711573;0.990035405
342.5805546;0.983738734
339.006001;0.977212622
333.9993492;0.970452187
328.9949742;0.963437901
325.4204207;0.956203935
320.4137689;0.948730764
316.8392153;0.940989104
311.1176528;0.933022885
308.2580099;0.924822338
304.6828872;0.916343514
299.6768046;0.907605959
294.670722;0.898619445
291.0955992;0.88935956
287.5210457;0.879826305
282.5143939;0.870039185
279.654751;0.859973797
276.0796282;0.849625266
271.7884564;0.839052179
266.7840814;0.828278951
261.7774296;0.817300694
257.4879653;0.806146699
253.9134117;0.794860894
249.6216707;0.783453045
245.3322064;0.771928026
242.4702867;0.760300469
236.751001;0.748589929
233.8913582;0.736791529
229.5996171;0.724905241
226.0250635;0.712940837
220.303501;0.700903223
215.299126;0.688826556
211.7228649;0.676696187
206.7179207;0.664477957
202.4261796;0.652201139
198.851626;0.639880381
194.5621617;0.62750593
190.9853314;0.615102179
186.6958671;0.602620332
182.4064028;0.590055502
178.1146617;0.577432083
173.8251974;0.564740322
169.5334564;0.551999744
165.2439921;0.539200586
161.6671617;0.526357489
156.6627867;0.513470462
153.087664;0.500515102
149.5114028;0.487481626
145.2219385;0.474384684
140.2158559;0.461229163
136.6407332;0.448029702
132.3501305;0.434742362
127.3446171;0.421415959
123.0551528;0.408079793
119.4783224;0.394660635
115.1888582;0.38119266
110.1822064;0.367680746
105.1778314;0.354154191
102.3181885;0.340554418
98.02644744;0.326915591
93.73698316;0.31326701
89.44524209;0.299554973
85.1557778;0.285833173
80.14969521;0.272072311
75.85966173;0.258238219
71.57019744;0.244365074
66.56354566;0.230477289
62.27408137;0.21653581
58.69725102;0.202545506
53.69287602;0.188555202
49.40227334;0.174574671
44.39675994;0.16057949
39.39010816;0.146559896
33.67082244;0.132515889
30.81117959;0.118447469
25.8045278;0.104354646
22.22997423;0.090237419
16.50841173;0.076100666
13.64876887;0.0619395
9.358166194;0.047753931
5.067563516;0.033548845
0.061480926;0.019333996
-3.513641842;0.00509962
-8.518016842;-0.009159169
-12.80975791;-0.023398441
-17.0992222;-0.037647476
-20.67377577;-0.051911152
-25.68042756;-0.066155301
-30.68594095;-0.080433616
-34.97654363;-0.094750994
-39.26600791;-0.109087899
-42.12678916;-0.123410144
