'H_675C_3.5lbf_strip';'B_675C_3.5lbf_strip'
-667.394549;-0.644001495
-684.5569597;-0.658431799
-701.7170937;-0.672867072
-714.5883325;-0.687257571
-733.1811339;-0.701588389
-747.4827633;-0.715924186
-764.645174;-0.730250034
-780.3754865;-0.744560954
-796.1069374;-0.758802223
-811.8389575;-0.772953955
-829.000799;-0.786981334
-846.1615022;-0.800784864
-861.8935222;-0.81432474
-876.1951517;-0.827406969
-890.4967812;-0.839937044
-901.9376294;-0.851919914
-919.1000401;-0.863395384
-934.8320602;-0.874448052
-953.4225847;-0.884933638
-966.2938236;-0.89478745
-982.0258437;-0.903984623
-997.7578638;-0.912679376
-1012.058924;-0.921006028
-1032.080408;-0.928780526
-1046.382038;-0.936107325
-1060.683667;-0.943075961
-1073.554906;-0.949596896
-1087.856536;-0.955739776
-1107.877451;-0.961599112
-1123.609471;-0.967259471
-1139.341491;-0.972611414
-1153.64312;-0.977674839
-1170.803254;-0.982569133
-1187.965665;-0.987339066
-1206.557897;-0.991900073
-1222.290487;-0.99621733
-1239.45062;-1.000360482
-1250.891469;-1.004334502
-1265.193098;-1.008223958
-1279.494728;-1.01188459
-1296.657138;-1.015425836
-1313.817272;-1.018991952
-1328.12004;-1.022393913
-1340.99071;-1.025606845
-1356.723299;-1.028899369
