H_675C_10s;B_675C_10s
-58.6953;-1.17314
-57.122;-1.16977
-54.8339;-1.16618
-53.1189;-1.16236
-51.5451;-1.1583
-49.5426;-1.154
-47.9694;-1.14947
-46.2544;-1.14468
-44.6806;-1.13963
-43.1067;-1.13437
-41.5352;-1.12887
-39.8185;-1.1231
-38.6733;-1.11706
-37.1017;-1.1108
-35.8136;-1.10433
-34.5255;-1.09764
-33.0968;-1.09072
-31.9516;-1.08358
-30.6658;-1.07625
-29.5206;-1.06873
-28.3771;-1.06102
-27.2324;-1.05311
-25.946;-1.04504
-25.0871;-1.03678
-24.087;-1.02834
-23.0847;-1.01973
-21.7989;-1.01093
-20.9394;-1.00198
-19.7964;-0.992866
-18.7946;-0.983595
-17.9369;-0.974168
-17.0796;-0.964547
-16.0773;-0.954763
-15.2201;-0.944846
-14.3617;-0.934772
-13.5034;-0.924543
-12.7885;-0.914179
-11.7867;-0.903667
-11.2152;-0.892999
-10.07;-0.882182
-9.64139;-0.87118
-8.92705;-0.860014
-8.0687;-0.848677
-7.49609;-0.837162
-6.92461;-0.825513
-6.35314;-0.813716
-5.63709;-0.801755
-5.06505;-0.789623
-4.49358;-0.77735
-4.49358;-0.764943
